-0.1, -1.35126e+07
-0.099, -1.31223e+07
-0.098, -1.27425e+07
-0.097, -1.2373e+07
-0.096, -1.20136e+07
-0.095, -1.16639e+07
-0.094, -1.13236e+07
-0.093, -1.09926e+07
-0.092, -1.06705e+07
-0.091, -1.03572e+07
-0.09, -1.00523e+07
-0.089, -9.75572e+06
-0.088, -9.46714e+06
-0.087, -9.18637e+06
-0.086, -8.91321e+06
-0.085, -8.64743e+06
-0.084, -8.38885e+06
-0.083, -8.13727e+06
-0.082, -7.89249e+06
-0.081, -7.65433e+06
-0.08, -7.42262e+06
-0.079, -7.19717e+06
-0.078, -6.97782e+06
-0.077, -6.76441e+06
-0.076, -6.55676e+06
-0.075, -6.35473e+06
-0.074, -6.15816e+06
-0.073, -5.9669e+06
-0.072, -5.78081e+06
-0.071, -5.59975e+06
-0.07, -5.42359e+06
-0.069, -5.25218e+06
-0.068, -5.0854e+06
-0.067, -4.92313e+06
-0.066, -4.76525e+06
-0.065, -4.61162e+06
-0.064, -4.46214e+06
-0.063, -4.3167e+06
-0.062, -4.17519e+06
-0.061, -4.03749e+06
-0.06, -3.90352e+06
-0.059, -3.77315e+06
-0.058, -3.64631e+06
-0.057, -3.52288e+06
-0.056, -3.40279e+06
-0.055, -3.28593e+06
-0.054, -3.17222e+06
-0.053, -3.06159e+06
-0.052, -2.95393e+06
-0.051, -2.84917e+06
-0.05, -2.74724e+06
-0.049, -2.64806e+06
-0.048, -2.55154e+06
-0.047, -2.45763e+06
-0.046, -2.36624e+06
-0.045, -2.27732e+06
-0.044, -2.19079e+06
-0.043, -2.10659e+06
-0.042, -2.02466e+06
-0.041, -1.94493e+06
-0.04, -1.86735e+06
-0.039, -1.79185e+06
-0.038, -1.71838e+06
-0.037, -1.64689e+06
-0.036, -1.57732e+06
-0.035, -1.50962e+06
-0.034, -1.44374e+06
-0.033, -1.37963e+06
-0.032, -1.31725e+06
-0.031, -1.25654e+06
-0.03, -1.19746e+06
-0.029, -1.13996e+06
-0.028, -1.08401e+06
-0.027, -1.02956e+06
-0.026, -976570
-0.025, -925002
-0.024, -874817
-0.023, -825978
-0.022, -778448
-0.021, -732192
-0.02, -687175
-0.019, -643364
-0.018, -600727
-0.017, -559231
-0.016, -518845
-0.015, -479541
-0.014, -441288
-0.013, -404058
-0.012, -367824
-0.011, -332558
-0.01, -298234
-0.009, -264828
-0.008, -232314
-0.007, -200668
-0.006, -169867
-0.005, -139888
-0.004, -110708
-0.003, -82307.1
-0.002, -54663.1
-0.001, -27755.8
0, -1565.49
0.001, 23927.3
0.002, 48741.2
0.003, 72894.7
0.004, 96405.5
0.005, 119291
0.006, 141568
0.007, 163253
0.008, 184361
0.009, 204909
0.01, 224912
0.011, 244383
0.012, 263338
0.013, 281791
0.014, 299754
0.015, 317241
0.016, 334265
0.017, 350839
0.018, 366973
0.019, 382681
0.02, 397974
0.021, 412862
0.022, 427357
0.023, 441470
0.024, 455210
0.025, 468587
0.026, 481612
0.027, 494294
0.028, 506641
0.029, 518663
0.03, 530369
0.031, 541768
0.032, 552866
0.033, 563673
0.034, 574197
0.035, 584444
0.036, 594422
0.037, 604139
0.038, 613601
0.039, 622816
0.04, 631789
0.041, 640528
0.042, 649038
0.043, 657326
0.044, 665398
0.045, 673260
0.046, 680916
0.047, 688373
0.048, 695636
0.049, 702710
0.05, 709600
0.051, 716312
0.052, 722849
0.053, 729216
0.054, 735419
0.055, 741460
0.056, 747346
0.057, 753079
0.058, 758665
0.059, 764106
0.06, 769407
0.061, 774571
0.062, 779602
0.063, 784504
0.064, 789280
0.065, 793933
0.066, 798467
0.067, 802885
0.068, 807189
0.069, 811384
0.07, 815471
0.071, 819454
0.072, 823336
0.073, 827118
0.074, 830804
0.075, 834397
0.076, 837898
0.077, 841310
0.078, 844636
0.079, 847878
0.08, 851038
0.081, 854118
0.082, 857121
0.083, 860047
0.084, 862900
0.085, 865682
0.086, 868393
0.087, 871037
0.088, 873615
0.089, 876128
0.09, 878578
0.091, 880967
0.092, 883297
0.093, 885569
0.094, 887784
0.095, 889945
0.096, 892052
0.097, 894107
0.098, 896111
0.099, 898066
0.1, 899972
